,bauchi,benin,bida,calabar,enugu,gusau,ibadan,ikeja,jos,kaduna,kano,katsina,lagos,lokoja,maiduguri,minna,nguru,ondo,oshogbo,sokoto,warri,yelwa,yola,zaria
2022-06-19,0.7,2.0,2.2,2.4,2.5,2.0,5.6,0.1,2.4,1.9,7.5,1.7,0.1,0.2,0.0,1.9,2.1,4.7,3.3,6.2,2.6,2.4,0.6,3.9
2022-06-20,3.8,2.8,1.2,2.4,1.5,1.8,2.1,5.0,5.3,1.5,2.8,0.7,5.0,0.4,0.6,3.1,6.6,3.4,3.5,0.0,8.6,5.3,2.4,2.7
2022-06-21,8.5,3.2,6.1,7.2,3.2,3.6,1.6,1.9,6.2,2.4,0.2,4.0,1.9,0.2,0.6,4.7,4.4,1.0,1.0,0.1,5.0,6.2,5.0,2.3
2022-06-22,0.2,5.2,2.4,18.6,3.0,2.9,1.4,4.2,2.5,4.8,0.1,0.2,4.2,0.3,0.5,4.6,5.0,2.9,0.6,0.4,8.7,2.5,0.5,1.4
2022-06-23,2.2,2.9,2.0,7.2,1.8,0.8,1.1,0.2,7.2,2.0,0.0,0.2,0.2,0.6,0.3,2.3,5.5,2.0,1.4,0.1,5.8,7.2,0.8,2.7
2022-06-24,9.0,1.8,2.5,4.5,1.0,1.5,0.1,1.7,2.8,1.1,0.8,5.0,1.7,0.9,0.5,1.0,4.8,1.0,0.1,0.1,4.1,2.8,1.4,3.7
2022-06-25,1.0,2.3,0.7,3.5,0.2,4.3,0.7,2.0,2.5,1.8,0.2,0.4,2.0,0.0,0.0,1.6,1.8,2.3,0.6,0.6,1.5,2.5,1.4,0.6
2022-06-26,1.2,9.6,0.2,6.4,6.2,2.8,1.2,3.7,1.3,0.8,1.3,2.2,3.7,0.0,0.3,0.8,7.2,3.2,1.3,0.1,10.4,1.3,2.3,1.8
2022-06-27,0.0,2.4,0.4,3.2,3.4,1.2,2.3,0.4,0.1,0.0,0.0,0.0,0.4,0.9,0.2,0.0,3.3,3.0,3.4,1.0,6.6,0.1,0.2,0.0
2022-06-28,0.0,0.1,0.1,2.5,0.0,0.7,0.9,0.5,3.9,1.5,0.0,1.5,0.5,0.0,0.1,0.0,0.5,0.2,0.1,0.1,0.2,3.9,0.0,0.9
2022-06-29,9.1,3.1,6.2,24.9,3.1,9.4,1.2,1.7,5.7,2.4,0.8,0.8,1.7,2.4,1.7,4.4,7.9,2.8,1.5,5.7,4.5,5.7,0.8,5.7
2022-06-30,0.0,15.7,4.3,6.2,5.8,1.8,3.2,1.2,3.1,2.6,0.1,2.1,1.2,18.8,0.3,5.2,5.4,4.2,5.0,1.4,14.0,3.1,0.4,0.3
2022-07-01,1.3,14.6,11.0,14.5,1.2,2.0,0.9,17.2,9.8,4.4,1.9,0.7,17.2,1.0,0.7,8.9,6.9,5.5,0.8,0.9,11.9,9.8,2.8,2.3
2022-07-02,0.9,4.3,4.3,1.3,5.4,0.6,1.5,2.9,3.7,1.1,1.3,1.0,2.9,2.3,0.9,0.8,4.3,4.0,0.8,0.2,13.8,3.7,1.1,2.1
2022-07-03,3.9,2.5,0.0,5.7,0.9,0.8,1.0,0.7,4.3,0.7,11.9,1.6,0.7,0.0,1.4,0.3,4.6,0.8,0.7,0.0,3.5,4.3,0.5,2.1
